periodo;sentiment_azure;MeaningCloud;NaturalLan
1;positive;P;positivo
1;negative;N;neutral
1;mixed;P;positivo
1;negative;N+;neutral
1;negative;P;negativo
1;negative;N;neutral
1;negative;NONE;positivo
1;neutral;P;positivo
1;negative;N;positivo
1;negative;N;negativo
1;positive;P;positivo
1;positive;P;neutral
1;negative;P+;positivo
1;negative;N;neutral
1;positive;P+;positivo
1;negative;N;negativo
1;positive;P;positivo
1;negative;N;positivo
1;negative;N;neutral
1;positive;N;positivo
1;negative;NEU;neutral
1;negative;NONE;negativo
1;mixed;P;positivo
1;neutral;P;positivo
1;negative;N;negativo
1;neutral;N;positivo
1;negative;N;positivo
1;mixed;NEU;positivo
1;positive;P;negativo
1;negative;N+;neutral
1;negative;N+;negativo
1;negative;N;positivo
1;positive;P;positivo
1;positive;P+;positivo
1;negative;NEU;neutral
1;mixed;P;negativo
1;negative;N;mixto
1;negative;N+;negativo
1;negative;P+;negativo
1;negative;P+;positivo
1;negative;NEU;neutral
1;mixed;N;positivo
1;negative;N;negativo
1;negative;NEU;neutral
1;negative;NEU;positivo
1;mixed;N;positivo
1;negative;N;mixto
1;positive;P;positivo
1;negative;N+;neutral
1;negative;N;positivo
1;positive;P;positivo
1;negative;P;negativo
1;positive;P;negativo
1;negative;NEU;negativo
1;mixed;P;positivo
1;negative;NEU;positivo
1;negative;N+;neutral
1;positive;P;negativo
1;mixed;P;positivo
1;positive;P;positivo
1;negative;N;negativo
1;mixed;P;negativo
1;positive;P+;positivo
1;mixed;P;positivo
1;neutral;P;positivo
1;negative;P;positivo
1;negative;NEU;positivo
1;negative;NEU;negativo
1;negative;NEU;negativo
1;mixed;N;positivo
1;negative;N;neutral
1;negative;NEU;neutral
1;mixed;N;negativo
1;positive;P;positivo
1;negative;N+;neutral
1;negative;NEU;positivo
1;negative;P;neutral
1;negative;N+;neutral
1;mixed;NEU;positivo
1;neutral;NONE;neutral
1;negative;N;negativo
1;positive;P;positivo
1;mixed;N;positivo
1;positive;NEU;neutral
1;negative;N;positivo
1;negative;N;negativo
1;negative;N;negativo
1;positive;P;neutral
1;mixed;N;mixto
1;neutral;N;positivo
1;neutral;P;positivo
1;negative;P;positivo
1;positive;P;positivo
1;negative;N;neutral
1;neutral;P;neutral
1;neutral;N+;neutral
1;negative;N;negativo
1;negative;N;negativo
1;positive;P;positivo
1;mixed;NEU;positivo
1;negative;P;negativo
1;mixed;P;positivo
1;negative;P;positivo
1;negative;N;negativo
1;negative;N;neutral
1;negative;N;positivo
1;negative;NEU;negativo
1;negative;N+;negativo
1;negative;P+;neutral
1;negative;N;positivo
1;positive;N;positivo
1;mixed;P+;positivo
1;negative;N;positivo
1;positive;P;positivo
1;neutral;NONE;positivo
1;negative;N;negativo
1;negative;N;negativo
1;neutral;P;positivo
1;positive;P+;positivo
1;neutral;N;positivo
1;positive;P+;positivo
1;positive;P;negativo
1;negative;N;negativo
1;positive;NEU;positivo
1;negative;P;mixto
1;negative;P;negativo
1;negative;N;positivo
1;negative;N;negativo
1;negative;N;negativo
1;negative;P;negativo
1;negative;N;negativo
1;mixed;P;mixto
1;negative;N+;negativo
1;negative;N;negativo
1;negative;P;positivo
1;positive;P;positivo
1;mixed;N;positivo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N+;negativo
1;negative;N;neutral
1;mixed;N;positivo
1;mixed;P;negativo
1;positive;P;positivo
1;negative;N;negativo
1;negative;P+;negativo
1;mixed;N;mixto
1;mixed;P;positivo
1;mixed;P;positivo
1;mixed;P;positivo
1;negative;NEU;negativo
1;negative;N;positivo
1;mixed;P;positivo
1;mixed;P;positivo
1;mixed;NEU;mixto
1;negative;P;neutral
1;negative;N;positivo
1;negative;P;negativo
1;mixed;NEU;positivo
1;negative;NEU;negativo
1;positive;P;positivo
1;positive;P;positivo
1;positive;P;positivo
1;neutral;P;positivo
1;negative;N;neutral
1;negative;NEU;neutral
1;positive;N;neutral
1;negative;N+;negativo
1;negative;NEU;negativo
1;negative;P+;negativo
1;negative;N;neutral
1;mixed;P;negativo
1;negative;N+;positivo
1;negative;P;mixto
1;negative;N;negativo
1;negative;N;negativo
1;mixed;N;negativo
1;positive;P;neutral
1;negative;NEU;negativo
1;negative;N;positivo
1;mixed;P;positivo
1;negative;N;negativo
1;mixed;N;neutral
1;negative;P;positivo
1;negative;N;negativo
1;negative;P;positivo
1;positive;P;neutral
1;positive;P;positivo
1;negative;NONE;neutral
1;negative;NEU;neutral
1;positive;P+;positivo
1;negative;N+;neutral
1;mixed;N;mixto
1;mixed;NEU;negativo
1;positive;N;neutral
1;neutral;N;negativo
1;mixed;N;mixto
1;negative;NEU;positivo
1;mixed;P;positivo
1;mixed;N;neutral
1;negative;NEU;positivo
1;negative;N;negativo
1;negative;NEU;positivo
1;negative;NEU;negativo
1;negative;N+;positivo
1;negative;N;mixto
1;positive;P;positivo
1;positive;P;positivo
1;negative;N;negativo
1;mixed;N;positivo
1;positive;P+;neutral
1;negative;NEU;negativo
1;positive;P;positivo
1;mixed;N;positivo
1;negative;P;negativo
1;negative;N;neutral
1;positive;P;positivo
1;positive;N;neutral
1;negative;NEU;neutral
1;positive;P;positivo
1;positive;P;positivo
1;neutral;P;positivo
1;positive;P;positivo
1;positive;N;positivo
1;positive;P;positivo
1;negative;P;mixto
1;negative;NONE;negativo
1;negative;N+;negativo
1;mixed;NEU;negativo
1;mixed;NEU;positivo
1;negative;NEU;negativo
1;negative;P;positivo
1;negative;NEU;mixto
1;negative;P;positivo
1;positive;P+;neutral
1;negative;N;positivo
1;negative;N;mixto
1;negative;P;negativo
1;negative;NEU;positivo
1;positive;P+;positivo
1;mixed;P;positivo
1;negative;N;negativo
1;neutral;NONE;positivo
1;negative;P;negativo
1;negative;NEU;neutral
1;neutral;P;mixto
1;negative;N;negativo
1;negative;NEU;neutral
1;negative;N;negativo
1;positive;P;positivo
1;negative;N;neutral
1;mixed;P;neutral
1;negative;N;negativo
1;neutral;P;negativo
1;mixed;N+;neutral
1;negative;N+;negativo
1;negative;NEU;negativo
1;negative;N+;neutral
1;negative;P;positivo
1;negative;N+;positivo
1;negative;NEU;neutral
1;negative;NEU;mixto
1;positive;P;positivo
1;neutral;P;positivo
1;mixed;NEU;positivo
1;negative;N+;negativo
1;negative;NONE;negativo
1;negative;N;mixto
1;mixed;P;positivo
1;negative;NEU;positivo
1;mixed;P;positivo
1;negative;N;neutral
1;negative;NEU;neutral
1;neutral;NONE;positivo
1;negative;N+;neutral
1;negative;NEU;positivo
1;negative;P;neutral
1;positive;P;positivo
1;positive;P;positivo
1;negative;NEU;positivo
1;mixed;P;neutral
1;negative;P;negativo
1;negative;NEU;negativo
1;mixed;N+;positivo
1;negative;P;negativo
1;negative;P;positivo
1;negative;P;positivo
1;negative;NEU;positivo
1;mixed;N;positivo
1;negative;N;negativo
1;positive;N;positivo
1;mixed;P;mixto
1;negative;P;negativo
1;negative;N;mixto
1;negative;NEU;mixto
1;negative;NEU;positivo
1;positive;N;negativo
1;negative;N;mixto
1;negative;N;positivo
1;mixed;NEU;mixto
1;neutral;P;positivo
1;mixed;N;neutral
1;negative;P;mixto
1;negative;N;positivo
1;negative;P;positivo
1;negative;N;neutral
1;negative;NEU;mixto
1;mixed;P;positivo
1;negative;P+;neutral
1;negative;N;positivo
1;negative;P;negativo
1;positive;P;positivo
1;mixed;P;mixto
1;positive;NEU;positivo
1;mixed;P;positivo
1;positive;P;positivo
1;negative;N;negativo
1;negative;N;mixto
1;negative;P;mixto
1;positive;P+;negativo
1;negative;NEU;mixto
1;mixed;P;positivo
1;negative;N;positivo
1;positive;N;positivo
1;negative;N;neutral
1;neutral;P;positivo
1;negative;N;negativo
1;negative;N;negativo
1;mixed;NEU;positivo
1;negative;N;positivo
1;positive;P;negativo
1;negative;N;positivo
1;neutral;P;positivo
1;neutral;P;neutral
1;negative;NEU;positivo
1;negative;P;negativo
1;negative;N;negativo
1;negative;P;positivo
1;mixed;NEU;negativo
1;negative;NEU;negativo
1;mixed;N;positivo
1;negative;N;negativo
1;mixed;N;neutral
1;mixed;P;neutral
1;negative;P;positivo
1;mixed;N;positivo
1;negative;P;negativo
1;negative;N;mixto
1;negative;N;positivo
1;positive;P;positivo
1;negative;N;negativo
1;negative;N;mixto
1;negative;N;positivo
1;mixed;P;positivo
1;negative;P;positivo
1;positive;P;positivo
1;negative;NEU;neutral
1;negative;N+;positivo
1;negative;P;negativo
1;negative;NEU;negativo
1;negative;NEU;negativo
1;mixed;P;positivo
1;negative;N;negativo
1;mixed;NEU;positivo
1;negative;N;negativo
1;negative;N;neutral
1;negative;P;negativo
1;positive;P;positivo
1;negative;NEU;positivo
1;positive;P+;positivo
1;negative;N;negativo
1;negative;NEU;positivo
1;negative;N;negativo
1;mixed;P;mixto
1;positive;P;neutral
1;mixed;P;positivo
1;negative;N;negativo
1;positive;P+;negativo
1;negative;N+;neutral
1;negative;P;negativo
1;negative;N;neutral
1;positive;NEU;positivo
1;negative;P;negativo
1;negative;N;negativo
1;negative;N;neutral
1;negative;N;mixto
1;positive;P;positivo
1;negative;NEU;negativo
1;positive;P;mixto
1;negative;N;positivo
1;negative;P;neutral
1;negative;NEU;negativo
1;negative;P;neutral
1;negative;N;negativo
1;mixed;N;negativo
1;positive;P;positivo
1;positive;P;neutral
1;negative;N;positivo
1;positive;P;neutral
1;negative;N;neutral
1;negative;NEU;positivo
1;positive;P+;positivo
1;mixed;N;negativo
1;positive;N;negativo
1;negative;NEU;neutral
1;positive;P;positivo
1;negative;NONE;neutral
1;negative;N;negativo
1;negative;NEU;positivo
1;neutral;P;positivo
1;positive;P;positivo
1;negative;P;neutral
1;negative;NEU;negativo
1;negative;N+;negativo
1;negative;P;neutral
1;negative;N;neutral
1;positive;NEU;positivo
1;positive;P;neutral
1;negative;P;positivo
1;negative;N;neutral
1;negative;P;neutral
1;positive;P+;positivo
1;negative;P;neutral
1;negative;P;negativo
1;negative;N;mixto
1;positive;N+;positivo
1;negative;NEU;positivo
1;negative;NEU;negativo
1;negative;P;negativo
1;negative;P;negativo
1;positive;P;positivo
1;negative;N+;neutral
1;positive;NEU;neutral
1;negative;P;negativo
1;mixed;P;mixto
1;negative;N;positivo
1;negative;NEU;negativo
1;positive;P;positivo
1;negative;NEU;negativo
1;mixed;P;positivo
1;negative;P;negativo
1;negative;N;negativo
1;negative;N;negativo
1;mixed;P;positivo
1;positive;P;negativo
1;negative;N;negativo
1;negative;P;positivo
1;mixed;N;mixto
1;negative;N;positivo
1;mixed;P;mixto
1;negative;N;negativo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;negativo
1;neutral;NONE;neutral
1;negative;N;positivo
1;negative;P;negativo
1;negative;N;mixto
1;negative;N;neutral
1;negative;P;neutral
1;negative;NEU;neutral
1;positive;P;positivo
1;mixed;P;neutral
1;positive;P;positivo
1;negative;P;positivo
1;mixed;N;positivo
1;negative;N;positivo
1;negative;P+;negativo
1;mixed;N;positivo
1;negative;NEU;positivo
1;mixed;NEU;positivo
1;negative;NEU;negativo
1;positive;P;positivo
1;negative;N;neutral
1;negative;N;negativo
1;negative;N;positivo
1;neutral;NEU;neutral
1;positive;NEU;neutral
1;negative;N+;negativo
1;negative;NEU;negativo
1;positive;NEU;positivo
1;neutral;P;positivo
1;positive;P;neutral
1;mixed;P;mixto
1;negative;NEU;negativo
1;negative;P;neutral
1;neutral;N;negativo
1;positive;P;mixto
1;positive;NEU;positivo
1;positive;NONE;positivo
1;positive;P;positivo
1;negative;NEU;negativo
1;negative;NEU;neutral
1;positive;P;positivo
1;negative;N;negativo
1;negative;N;mixto
1;mixed;P;positivo
1;negative;N;positivo
1;negative;P;mixto
1;neutral;N;neutral
1;positive;P+;positivo
1;mixed;P;mixto
1;positive;P;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;mixed;N;positivo
1;positive;P;positivo
1;positive;N;positivo
1;positive;P+;positivo
1;positive;P;positivo
1;positive;P;positivo
1;positive;P;positivo
1;negative;NEU;neutral
1;negative;NEU;positivo
1;neutral;P;positivo
1;positive;P;negativo
1;negative;P;negativo
1;positive;N;positivo
1;neutral;P;positivo
1;mixed;P;neutral
1;negative;N;positivo
1;negative;N;negativo
1;negative;N;positivo
1;mixed;NEU;positivo
1;negative;P;negativo
1;positive;P;negativo
1;mixed;NEU;positivo
1;negative;N;positivo
1;negative;N+;negativo
1;negative;NEU;positivo
1;mixed;P;neutral
1;mixed;P;neutral
1;negative;N;negativo
1;negative;N;negativo
1;mixed;N;negativo
1;positive;P;negativo
1;mixed;P;positivo
1;mixed;NEU;positivo
1;positive;P+;positivo
1;positive;P;positivo
1;mixed;N;neutral
1;mixed;P;mixto
1;negative;N;negativo
1;negative;NEU;positivo
1;positive;P+;positivo
1;positive;P;neutral
1;mixed;N;mixto
1;mixed;N;mixto
1;mixed;N;mixto
1;mixed;N;mixto
1;negative;P;neutral
1;negative;N;negativo
1;negative;N;mixto
1;negative;N;negativo
1;mixed;P;positivo
1;neutral;P;neutral
1;positive;P;positivo
1;negative;N;negativo
1;positive;P+;positivo
1;negative;NEU;negativo
1;positive;NONE;negativo
1;positive;P;positivo
1;negative;NEU;negativo
1;positive;P;negativo
1;negative;NEU;neutral
1;negative;N;negativo
1;neutral;NONE;neutral
1;negative;N;positivo
1;negative;P;positivo
1;positive;P;positivo
1;negative;P;negativo
1;mixed;P;positivo
1;positive;P;positivo
1;negative;N;negativo
1;positive;P;positivo
1;positive;P;positivo
1;positive;P+;neutral
1;negative;P;neutral
1;positive;NEU;positivo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N+;negativo
1;neutral;NONE;neutral
1;mixed;N;negativo
1;positive;P;neutral
1;negative;NEU;positivo
1;negative;P;negativo
1;positive;N+;negativo
1;neutral;NEU;mixto
1;negative;N;negativo
1;positive;P;neutral
1;negative;N+;negativo
1;negative;P;neutral
1;negative;P;negativo
1;mixed;N;positivo
1;negative;P;neutral
1;negative;P;positivo
1;negative;N;positivo
1;negative;N;mixto
1;mixed;N;positivo
1;negative;P;negativo
1;mixed;N;mixto
1;mixed;NEU;positivo
1;negative;N+;neutral
1;mixed;P;negativo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;P;neutral
1;neutral;NONE;positivo
1;negative;P;positivo
1;negative;NEU;negativo
1;mixed;N;positivo
1;negative;N+;neutral
1;negative;P;neutral
1;mixed;P;positivo
1;negative;N;positivo
1;negative;P;negativo
1;negative;N;mixto
1;negative;P+;negativo
1;negative;N;negativo
1;positive;P;positivo
1;negative;N;mixto
1;negative;N+;neutral
1;negative;NEU;positivo
1;negative;P+;negativo
1;;P;positivo
1;negative;N;positivo
1;negative;NEU;negativo
1;mixed;N+;positivo
1;negative;N;neutral
1;negative;N+;positivo
1;mixed;NEU;positivo
1;negative;N+;mixto
1;negative;N;positivo
1;negative;N;positivo
1;negative;P;negativo
1;mixed;N;positivo
1;negative;N;neutral
1;negative;NEU;positivo
1;negative;N;neutral
1;positive;P;positivo
1;negative;NEU;positivo
1;negative;NEU;negativo
1;negative;P;neutral
1;negative;N;negativo
1;neutral;N+;positivo
1;negative;N;neutral
1;mixed;NEU;positivo
1;neutral;P;neutral
1;positive;P+;positivo
1;negative;P;positivo
1;negative;P;neutral
1;negative;N;negativo
1;negative;N;neutral
1;mixed;P;mixto
1;negative;N;negativo
1;negative;N;positivo
1;positive;NEU;positivo
1;negative;P;neutral
1;neutral;P;positivo
1;negative;N;negativo
1;negative;P;negativo
1;negative;P;positivo
1;negative;P;negativo
1;positive;P;positivo
1;mixed;P;mixto
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;positivo
1;mixed;NEU;positivo
1;positive;P;positivo
1;neutral;P;positivo
1;negative;P;mixto
1;negative;P;negativo
1;negative;P;neutral
1;mixed;N;mixto
1;negative;N;positivo
1;negative;P;negativo
1;negative;NEU;negativo
1;negative;N+;positivo
1;negative;P;negativo
1;negative;N;mixto
1;negative;N;positivo
1;negative;NEU;mixto
1;negative;NONE;positivo
1;negative;N;negativo
1;negative;N;negativo
1;positive;P;negativo
1;negative;NEU;negativo
1;negative;N;mixto
1;positive;N;positivo
1;neutral;P;positivo
1;neutral;P;positivo
1;negative;NEU;negativo
1;positive;P;positivo
1;negative;P;positivo
1;neutral;P;positivo
1;neutral;NONE;positivo
1;positive;P;neutral
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;mixto
1;negative;N;negativo
1;neutral;NONE;positivo
1;negative;N;neutral
1;negative;N;negativo
1;negative;P;neutral
1;positive;P;positivo
1;mixed;N+;positivo
1;negative;N;positivo
1;negative;N;neutral
1;negative;N;positivo
1;positive;P;positivo
1;negative;N;positivo
1;negative;N;positivo
1;negative;N;mixto
1;mixed;P;positivo
1;negative;NEU;positivo
1;negative;N+;negativo
1;negative;P;neutral
1;negative;NEU;neutral
1;negative;N+;negativo
1;negative;N;neutral
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;P;neutral
1;negative;N+;neutral
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;mixto
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;positive;P+;neutral
1;negative;N+;neutral
1;negative;N;negativo
1;negative;N+;negativo
1;positive;P;positivo
1;negative;P;negativo
1;negative;NEU;negativo
1;negative;N+;negativo
1;negative;P;positivo
1;negative;N;negativo
1;neutral;N+;positivo
1;negative;N;negativo
1;negative;P+;neutral
1;negative;P;neutral
1;negative;P;neutral
1;negative;N;negativo
1;negative;N+;negativo
1;neutral;NEU;negativo
1;negative;N+;negativo
1;negative;NEU;negativo
1;mixed;P;positivo
1;positive;NEU;positivo
1;negative;N;negativo
1;positive;P;positivo
1;negative;P;negativo
1;negative;N;negativo
1;positive;N;negativo
1;negative;N;mixto
1;negative;NEU;negativo
1;negative;NEU;positivo
1;negative;N+;negativo
1;negative;N;negativo
1;negative;NEU;negativo
1;mixed;NEU;mixto
1;negative;N;mixto
1;neutral;P;neutral
1;negative;N+;positivo
1;negative;NEU;neutral
1;positive;P;positivo
1;negative;N;negativo
1;negative;N;positivo
1;negative;N;negativo
1;mixed;NEU;neutral
1;negative;N+;negativo
1;negative;P;neutral
1;negative;N;negativo
1;positive;P;positivo
1;negative;N+;negativo
1;neutral;NEU;positivo
1;negative;NEU;positivo
1;neutral;N+;positivo
1;negative;P;positivo
1;positive;NEU;positivo
1;negative;NEU;neutral
1;negative;N;mixto
1;negative;N+;neutral
1;negative;N;negativo
1;negative;P;negativo
1;negative;P;negativo
1;negative;P;negativo
1;negative;N;negativo
1;positive;P;positivo
1;negative;N;positivo
1;negative;P;negativo
1;negative;NEU;negativo
1;negative;P;negativo
1;negative;P+;positivo
1;negative;P;neutral
1;positive;P;positivo
1;negative;NEU;negativo
1;negative;NEU;negativo
1;mixed;N;positivo
1;positive;P;positivo
1;mixed;P;neutral
1;negative;NEU;positivo
1;negative;P;positivo
1;negative;N;neutral
1;mixed;P+;negativo
1;negative;N;negativo
1;mixed;NEU;positivo
1;positive;N;neutral
1;positive;P;positivo
1;negative;P+;negativo
1;negative;P+;negativo
1;negative;N;neutral
1;negative;P+;negativo
1;positive;P;positivo
1;negative;P;negativo
1;mixed;N;positivo
1;neutral;N;negativo
1;negative;P;neutral
1;neutral;NONE;positivo
1;mixed;P;neutral
1;negative;P;neutral
1;negative;N+;neutral
1;negative;N;negativo
1;negative;P;negativo
1;mixed;P+;positivo
1;positive;P;positivo
1;negative;N;negativo
1;negative;P;negativo
1;negative;NONE;negativo
1;negative;P;positivo
1;neutral;P;positivo
1;mixed;P;negativo
1;negative;N;positivo
1;negative;P;neutral
1;positive;P;neutral
1;positive;NEU;mixto
1;negative;N;neutral
1;negative;P;positivo
1;negative;NEU;positivo
1;negative;N;positivo
1;mixed;N;neutral
1;negative;P;positivo
1;negative;N+;mixto
1;negative;N+;mixto
1;negative;NEU;positivo
1;negative;P;positivo
1;negative;N;negativo
1;negative;NONE;negativo
1;positive;P;positivo
1;positive;NEU;negativo
1;positive;N;positivo
1;negative;N;positivo
1;negative;N;negativo
1;negative;N;neutral
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N+;negativo
1;negative;N;neutral
1;mixed;N;mixto
1;negative;P;positivo
1;negative;N+;negativo
1;negative;N+;negativo
1;mixed;NEU;neutral
1;negative;N;mixto
1;mixed;P;positivo
1;negative;NEU;negativo
1;negative;NEU;negativo
1;positive;P;positivo
1;negative;NEU;negativo
1;positive;P;negativo
1;negative;N;negativo
1;mixed;P;positivo
1;mixed;N;neutral
1;negative;N;positivo
1;neutral;NONE;neutral
1;mixed;N;mixto
1;neutral;NONE;positivo
1;negative;P;negativo
1;negative;N;negativo
1;negative;N;negativo
1;negative;N;positivo
1;mixed;N;negativo
1;positive;P+;negativo
1;negative;P+;negativo
1;negative;NEU;negativo
1;negative;N+;negativo
1;negative;NEU;positivo
1;mixed;NEU;positivo
1;mixed;NEU;positivo
